txn_id,account_id,txn_date,txn_code,amount,channel
TXN00020454,ACCT000037,23-Oct-2025,CR,3112.66,ACH
TXN00000187,ACCT000082,01-Sep-2023,ATM,2039.43,ACH
TXN00013538,ACCT000778,20241029,INT,4374.12,ATM
TXN00015824,ACCT000161,09-Feb-2025,WIRE,3783.46,ONLINE
TXN00020181,ACCT001158,20240918,ACH,226.53,ATM
TXN00023335,ACCT000721,28-Mar-2025,ATM,3130.69,ATM
TXN00015967,ACCT000902,20240404,ATM,1168.78,WIRE
TXN00006244,ACCT000485,19-Jan-2024,INT,689.79,BRANCH
TXN00017061,ACCT000739,20241213,ATM,3879.63,ATM
TXN00008433,ACCT000553,20240613,ACH,1451.81,ACH
TXN00006005,ACCT000687,20230804,ACH,1174.15,ONLINE
TXN00013741,ACCT000415,2025-01-31,FEE,1150.27,ACH
TXN00005336,ACCT001050,07-Jul-2024,DR,1763.24,ACH
TXN00003439,ACCT000711,20250928,WIRE,4090.40,ONLINE
TXN00020194,ACCT000732,2023-02-18,INT,1250.10,ATM
TXN00000134,ACCT000512,05/02/2025,WIRE,284.37,ACH
TXN00022067,ACCT001117,02/28/2023,INT,4467.20,ACH
TXN00016343,ACCT000695,2023-10-09,DR,2087.29,BRANCH
TXN00022030,ACCT001082,2025-04-24,INT,972.45,ACH
TXN00020055,ACCT000564,12/17/2024,ACH,2583.48,BRANCH
TXN00023985,ACCT000134,17-Aug-2025,INT,1713.14,ONLINE
TXN00019206,ACCT000080,11/16/2024,INT,3481.26,ATM
TXN00021749,ACCT000801,2024-05-21,FEE,3166.43,BRANCH
TXN00013601,ACCT000304,20241121,WIRE,2391.69,BRANCH
TXN00019278,ACCT000035,20231213,CR,1941.32,ACH
TXN00023734,ACCT000224,10/12/2025,CR,2226.77,WIRE
TXN00005057,ACCT000673,2025-02-24,ACH,2002.47,ATM
TXN00008343,ACCT000083,04/23/2024,FEE,1740.51,WIRE
TXN00001924,ACCT000185,2024-09-11,CR,4013.52,BRANCH
TXN00024752,ACCT000803,2025-01-21,ATM,3135.49,WIRE
TXN00019575,ACCT000967,12-Aug-2023,ACH,74.88,BRANCH
TXN00016290,ACCT000942,20240729,FEE,2659.34,ACH
TXN00018600,ACCT000124,20240511,FEE,331.69,WIRE
TXN00014527,ACCT000375,07/16/2024,ATM,1836.25,ACH
TXN00016620,ACCT001189,28-Jul-2023,INT,4413.50,BRANCH
TXN00013625,ACCT000225,11/21/2025,FEE,4251.28,ONLINE
TXN00014945,ACCT000269,20240303,DR,1037.80,ONLINE
TXN00022865,ACCT000947,01/10/2023,CR,1182.47,WIRE
TXN00010267,ACCT000015,11/09/2023,ACH,4247.08,ONLINE
TXN00012026,ACCT000432,2024-07-07,ACH,3747.37,ATM
TXN00003087,ACCT000018,20241102,DR,4224.33,BRANCH
TXN00007897,ACCT001095,2023-03-19,INT,2194.76,ATM
TXN00023557,ACCT001005,09-Dec-2025,ACH,1462.96,ATM
TXN00008261,ACCT000576,04/19/2025,ATM,3296.48,BRANCH
TXN00016349,ACCT000069,20240309,INT,1921.31,ONLINE
TXN00014542,ACCT000891,2024-12-10,INT,3426.97,ACH
TXN00002228,ACCT000103,2024-09-30,ATM,3806.88,ONLINE
TXN00010598,ACCT000289,20240507,DR,110.73,WIRE
TXN00017197,ACCT000061,2023-03-31,CR,390.92,BRANCH
TXN00021032,ACCT000322,17-Aug-2023,ATM,1878.91,WIRE
TXN00018719,ACCT001028,2024-10-22,INT,3423.12,ONLINE
TXN00020232,ACCT000284,20240414,DR,766.52,ATM
TXN00003292,ACCT000264,10/27/2025,INT,3587.35,ACH
TXN00016809,ACCT000756,16-Apr-2023,INT,514.47,ACH
TXN00012440,ACCT000142,2025-10-06,DR,1512.69,ATM
TXN00004543,ACCT000534,08/20/2025,WIRE,3330.38,BRANCH
TXN00010206,ACCT000216,20250701,CR,679.02,BRANCH
TXN00023758,ACCT000658,2023-05-05,FEE,3175.88,ATM
TXN00019376,ACCT000569,20230327,CR,216.81,ATM
TXN00016503,ACCT000263,20250324,WIRE,1759.45,ATM
TXN00022430,ACCT000456,20241119,ACH,3123.97,ONLINE
TXN00000610,ACCT000344,20230511,ACH,3512.21,ACH
TXN00016108,ACCT000187,2025-11-28,ATM,1459.59,ONLINE
TXN00021697,ACCT001004,2025-12-04,WIRE,3459.81,ATM
TXN00023075,ACCT000869,2024-03-20,INT,2569.08,ACH
TXN00018576,ACCT000907,01/18/2025,ACH,3571.75,ATM
TXN00008706,ACCT000069,20-Mar-2024,ATM,3675.84,ATM
TXN00003674,ACCT000191,20250622,DR,4441.62,ACH
TXN00023923,ACCT000389,06/22/2023,DR,1421.80,ATM
TXN00012631,ACCT000531,12-Sep-2024,INT,4018.58,BRANCH
TXN00022711,ACCT001010,05-Jun-2024,CR,2401.96,BRANCH
TXN00017430,ACCT000480,23-Nov-2025,CR,1586.16,ONLINE
TXN00012793,ACCT000393,20251209,WIRE,281.58,ACH
TXN00023419,ACCT000003,27-Jul-2023,FEE,3022.18,ONLINE
TXN00023408,ACCT000173,10/07/2025,ATM,3921.12,WIRE
TXN00016286,ACCT000576,20240112,ACH,3005.29,WIRE
TXN00004445,ACCT000091,01/15/2025,WIRE,2686.44,ATM
TXN00003594,ACCT000150,03/29/2024,ATM,2347.50,ONLINE
TXN00020000,ACCT000540,10/10/2025,DR,4374.90,ONLINE
TXN00019129,ACCT000619,20240509,CR,4217.85,ATM
TXN00019807,ACCT000819,01-Sep-2023,DR,365.53,BRANCH
TXN00016927,ACCT000518,04/18/2023,ATM,3128.08,BRANCH
TXN00000776,ACCT000190,20240707,WIRE,4010.00,ONLINE
TXN00018552,ACCT000410,20240428,ACH,3609.10,WIRE
TXN00023280,ACCT000039,20240105,FEE,2598.69,ONLINE
TXN00015932,ACCT000359,20231202,FEE,1692.43,BRANCH
TXN00011917,ACCT000229,2024-08-14,WIRE,72.74,BRANCH
TXN00009920,ACCT000326,20230114,WIRE,488.44,WIRE
TXN00004460,ACCT000283,20231129,ATM,2037.26,ACH
TXN00008472,ACCT001119,10/22/2023,ACH,2242.96,WIRE
TXN00009645,ACCT000862,2023-08-31,FEE,3296.57,WIRE
TXN00002198,ACCT000122,11/18/2023,ACH,1333.23,WIRE
TXN00013824,ACCT000244,2025-05-31,WIRE,4391.05,BRANCH
TXN00012605,ACCT000966,12-Aug-2023,FEE,1859.25,BRANCH
